processid	family	species	identification	identification_rank	identification_method	nuc_basecount	nuc_full_basecount	ambig_basecount	ambig_full_basecount	stop_codons	error	fasta_file
BBIOP1028-24	Bibionidae	Bibio	Bibionidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP967-24	Dolichopodidae	Medetera	Dolichopodidae	family	BLAST	656	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP972-24	Psychodidae	Psychodidae	Psychodidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1021-24	Tipulidae	Nephrotoma	Tipulidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1018-24	Bombyliidae	Phthiria	Bombyliidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1004-24	Bombyliidae	Villa	Bombyliidae	family	BLAST	656	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1039-24	Tachinidae	Cylindromyia	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1038-24	Tachinidae	Cylindromyia	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1044-24	Tachinidae	Besseria	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP994-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP988-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP996-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1011-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1045-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1035-24	Calliphoridae	Paykullia	Calliphoridae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1034-24	Calliphoridae	Phyto	Calliphoridae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1036-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP995-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP992-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1012-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1037-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1020-24	Tipulidae	Nephrotoma	Tipulidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP1025-24	Empididae	Hilara	Empididae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP993-24	Tachinidae	Tachinidae	Tachinidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP974-24	Agromyzidae	Agromyzidae	Agromyzidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP978-24	Agromyzidae	Agromyzidae	Agromyzidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP980-24	Agromyzidae	Agromyzidae	Agromyzidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP981-24	Agromyzidae	Agromyzidae	Agromyzidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP973-24	Agromyzidae	Agromyzidae	Agromyzidae	family	BLAST	655	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
BBIOP970-24	Hybotidae	Oedalea	Hybotidae	family	BLAST	657	658	0	0	0	None	data/output_Geneious_example_BGE_00598.remapped.fasta
